,car,street,side,entry_pos,entry_time,num_cars_current_street,exit_time,num_cars_next_street,next_road,next_road_light
1602,apb,tom mb,left,48,2020-11-22 15:39:06.478147,53,2020-11-22 15:39:09.924558,,,
1603,uqp,moi av,right,115,2020-11-22 15:39:00.457845,144,2020-11-22 15:39:10.126980,,,
1604,9xz,moi av,right,116,2020-11-22 15:39:00.473502,144,2020-11-22 15:39:10.126980,,,
1605,l94,moi av,right,117,2020-11-22 15:39:00.504793,144,2020-11-22 15:39:10.126980,,,
1606,lkk,moi av,right,118,2020-11-22 15:39:00.581798,144,2020-11-22 15:39:10.126980,55.0,tom mb,
1607,z3c,moi av,right,119,2020-11-22 15:39:00.628502,144,2020-11-22 15:39:10.126980,,,
1608,7dt,moi av,right,120,2020-11-22 15:39:00.691502,144,2020-11-22 15:39:10.126980,56.0,tom mb,
1609,ft2,tom mb,left,43,2020-11-22 15:39:06.576656,49,2020-11-22 15:39:10.126980,,,
1610,8bm,tom mb,left,44,2020-11-22 15:39:06.576656,49,2020-11-22 15:39:10.126980,50.0,tom mb,
1611,x8v,tom mb,left,45,2020-11-22 15:39:06.576656,50,2020-11-22 15:39:10.127994,,,
1612,vpt,tom mb,left,46,2020-11-22 15:39:06.576656,50,2020-11-22 15:39:10.127994,51.0,tom mb,
1613,9lg,tom mb,left,47,2020-11-22 15:39:06.692417,51,2020-11-22 15:39:10.127994,,,
1614,75y,tom mb,left,42,2020-11-22 15:39:06.792768,51,2020-11-22 15:39:10.127994,52.0,tom mb,
1615,d3w,moi av,right,121,2020-11-22 15:39:00.739036,138,2020-11-22 15:39:10.330201,,,
1616,cjl,moi av,right,122,2020-11-22 15:39:00.785506,138,2020-11-22 15:39:10.330201,,,
1617,ujn,moi av,right,123,2020-11-22 15:39:00.833557,138,2020-11-22 15:39:10.330201,,,
1618,w8n,moi av,right,124,2020-11-22 15:39:01.021989,138,2020-11-22 15:39:10.330201,59.0,tom mb,
1619,n5e,moi av,right,125,2020-11-22 15:39:01.053314,138,2020-11-22 15:39:10.330201,,,
1620,b8g,moi av,right,126,2020-11-22 15:39:01.083293,138,2020-11-22 15:39:10.330201,60.0,tom mb,
1621,xtg,tom mb,left,37,2020-11-22 15:39:07.033778,46,2020-11-22 15:39:10.330201,,,
1622,4rp,tom mb,left,38,2020-11-22 15:39:07.081933,46,2020-11-22 15:39:10.330201,47.0,tom mb,
1623,nyq,tom mb,left,39,2020-11-22 15:39:07.128797,47,2020-11-22 15:39:10.330201,,,
1624,ewn,tom mb,left,40,2020-11-22 15:39:07.176853,47,2020-11-22 15:39:10.330201,,,
1625,k4s,tom mb,left,41,2020-11-22 15:39:07.192839,47,2020-11-22 15:39:10.330201,48.0,tom mb,
1626,hu2,tom mb,left,36,2020-11-22 15:39:07.209759,48,2020-11-22 15:39:10.330201,,,
1627,y5z,moi av,left,1,2020-11-22 15:39:08.195267,14,2020-11-22 15:39:10.534628,35.0,ronald,
1628,j8a,moi av,left,2,2020-11-22 15:39:08.210449,14,2020-11-22 15:39:10.534628,,,
1629,4hf,moi av,left,3,2020-11-22 15:39:08.256580,14,2020-11-22 15:39:10.534628,,,
1630,ed0,moi av,left,4,2020-11-22 15:39:08.287699,14,2020-11-22 15:39:10.534628,36.0,ronald,
1631,pct,moi av,left,5,2020-11-22 15:39:08.460977,14,2020-11-22 15:39:10.534628,37.0,ronald,
1632,lsv,moi av,left,6,2020-11-22 15:39:08.628657,14,2020-11-22 15:39:10.534628,,,
1633,cvl,moi av,right,127,2020-11-22 15:39:01.226499,135,2020-11-22 15:39:10.534628,62.0,tom mb,
1634,5xh,moi av,right,128,2020-11-22 15:39:01.289256,135,2020-11-22 15:39:10.534628,,,
1635,qvn,moi av,right,129,2020-11-22 15:39:01.382472,135,2020-11-22 15:39:10.534628,63.0,tom mb,
1636,85h,moi av,right,130,2020-11-22 15:39:01.523561,135,2020-11-22 15:39:10.534628,64.0,tom mb,
1637,fwr,moi av,right,131,2020-11-22 15:39:01.571632,135,2020-11-22 15:39:10.534628,65.0,tom mb,
1638,0cz,moi av,right,126,2020-11-22 15:39:01.619632,135,2020-11-22 15:39:10.534628,,,
1639,7p4,tom mb,left,37,2020-11-22 15:39:07.209759,43,2020-11-22 15:39:10.534628,44.0,tom mb,
1640,zhc,tom mb,left,38,2020-11-22 15:39:07.209759,44,2020-11-22 15:39:10.535630,45.0,tom mb,
1641,d84,tom mb,left,39,2020-11-22 15:39:07.209759,45,2020-11-22 15:39:10.535630,46.0,tom mb,
1642,8jr,tom mb,left,34,2020-11-22 15:39:07.414491,46,2020-11-22 15:39:10.535630,,,
1643,d9d,tom mb,left,35,2020-11-22 15:39:07.414491,46,2020-11-22 15:39:10.535630,,,
1644,hz2,tom mb,left,36,2020-11-22 15:39:07.414491,46,2020-11-22 15:39:10.535630,47.0,tom mb,
1645,kdf,uni way,left,97,2020-11-22 15:39:00.960006,171,2020-11-22 15:39:10.740867,172.0,uni way,
1646,y8m,uni way,left,98,2020-11-22 15:39:01.007095,172,2020-11-22 15:39:10.740867,,,
1647,pw9,uni way,left,99,2020-11-22 15:39:01.068457,172,2020-11-22 15:39:10.740867,173.0,uni way,
1648,3aq,uni way,left,100,2020-11-22 15:39:01.146609,173,2020-11-22 15:39:10.740867,,,
1649,pa3,uni way,left,101,2020-11-22 15:39:01.162381,173,2020-11-22 15:39:10.740867,,,
1650,gxt,uni way,left,102,2020-11-22 15:39:01.242503,173,2020-11-22 15:39:10.740867,,,
1651,gs4,moi av,left,7,2020-11-22 15:39:08.910316,9,2020-11-22 15:39:10.740867,39.0,ronald,
1652,g7e,moi av,left,8,2020-11-22 15:39:09.068657,9,2020-11-22 15:39:10.740867,,,
1653,qpg,moi av,left,9,2020-11-22 15:39:09.100750,9,2020-11-22 15:39:10.740867,,,
1654,gr2,moi av,left,10,2020-11-22 15:39:09.241761,9,2020-11-22 15:39:10.740867,40.0,ronald,
1655,yke,moi av,left,11,2020-11-22 15:39:09.350427,9,2020-11-22 15:39:10.740867,41.0,ronald,
1656,4zv,moi av,left,12,2020-11-22 15:39:09.613225,9,2020-11-22 15:39:10.740867,,,
1657,zfp,moi av,right,127,2020-11-22 15:39:01.763560,130,2020-11-22 15:39:10.740867,,,
1658,qsb,moi av,right,122,2020-11-22 15:39:01.875562,130,2020-11-22 15:39:10.740867,67.0,tom mb,
1659,8ua,moi av,right,123,2020-11-22 15:39:01.923627,130,2020-11-22 15:39:10.740867,68.0,tom mb,
1660,4ks,moi av,right,118,2020-11-22 15:39:02.019643,130,2020-11-22 15:39:10.741870,69.0,tom mb,
1661,hqd,moi av,right,119,2020-11-22 15:39:02.051561,130,2020-11-22 15:39:10.741870,,,
1662,m2e,moi av,right,120,2020-11-22 15:39:02.067631,130,2020-11-22 15:39:10.741870,,,
1663,y9g,tom mb,left,37,2020-11-22 15:39:07.414491,44,2020-11-22 15:39:10.742036,,,
1664,f9e,tom mb,left,38,2020-11-22 15:39:07.474496,44,2020-11-22 15:39:10.742036,,,
1665,sww,tom mb,left,39,2020-11-22 15:39:07.631782,44,2020-11-22 15:39:10.742036,,,
1666,9w8,tom mb,left,40,2020-11-22 15:39:07.662819,44,2020-11-22 15:39:10.742036,,,
1667,9sh,tom mb,left,41,2020-11-22 15:39:07.678043,44,2020-11-22 15:39:10.742036,,,
1668,nhh,tom mb,left,42,2020-11-22 15:39:07.786494,44,2020-11-22 15:39:10.742036,45.0,tom mb,
1669,hte,uni way,left,103,2020-11-22 15:39:01.320763,170,2020-11-22 15:39:10.956581,,,
1670,3eh,uni way,left,104,2020-11-22 15:39:01.398312,170,2020-11-22 15:39:10.956581,,,
1671,ee0,uni way,left,105,2020-11-22 15:39:01.603632,170,2020-11-22 15:39:10.956581,,,
1672,ps3,uni way,left,106,2020-11-22 15:39:01.635633,170,2020-11-22 15:39:10.956581,,,
1673,z5f,uni way,left,107,2020-11-22 15:39:01.683633,170,2020-11-22 15:39:10.956581,171.0,uni way,
1674,bhj,uni way,left,108,2020-11-22 15:39:01.811634,171,2020-11-22 15:39:10.957525,,,
1675,s7w,moi av,left,13,2020-11-22 15:39:09.675380,4,2020-11-22 15:39:10.957525,43.0,ronald,
1676,wgz,moi av,left,14,2020-11-22 15:39:09.768595,4,2020-11-22 15:39:10.957525,44.0,ronald,
1677,0g5,moi av,left,15,2020-11-22 15:39:10.002495,4,2020-11-22 15:39:10.957525,,,
1678,ug9,moi av,left,16,2020-11-22 15:39:10.157680,4,2020-11-22 15:39:10.957525,,,
1679,hz3,moi av,left,17,2020-11-22 15:39:10.173063,4,2020-11-22 15:39:10.957525,,,
1680,sv7,moi av,left,18,2020-11-22 15:39:10.219771,4,2020-11-22 15:39:10.957525,45.0,ronald,
1681,ygl,moi av,right,121,2020-11-22 15:39:02.195630,126,2020-11-22 15:39:10.957525,74.0,tom mb,
1682,hsc,moi av,right,116,2020-11-22 15:39:02.243560,126,2020-11-22 15:39:10.957525,75.0,tom mb,
1683,zgg,moi av,right,117,2020-11-22 15:39:02.339499,126,2020-11-22 15:39:10.957525,,,
1684,p5a,moi av,right,112,2020-11-22 15:39:02.498457,126,2020-11-22 15:39:10.957525,,,
1685,4fx,moi av,right,113,2020-11-22 15:39:02.514399,126,2020-11-22 15:39:10.957525,76.0,tom mb,
1686,8qe,moi av,right,114,2020-11-22 15:39:02.625776,126,2020-11-22 15:39:10.957525,77.0,tom mb,
1687,vma,tom mb,left,43,2020-11-22 15:39:07.943554,41,2020-11-22 15:39:10.957525,42.0,tom mb,
1688,z70,tom mb,left,44,2020-11-22 15:39:08.039434,42,2020-11-22 15:39:10.957525,,,
1689,ek7,tom mb,left,45,2020-11-22 15:39:08.116269,42,2020-11-22 15:39:10.957525,,,
1690,nrf,tom mb,left,46,2020-11-22 15:39:08.411939,42,2020-11-22 15:39:10.957525,,,
1691,lgc,tom mb,left,47,2020-11-22 15:39:08.490662,42,2020-11-22 15:39:10.957525,,,
1692,zww,tom mb,left,48,2020-11-22 15:39:08.536727,42,2020-11-22 15:39:10.957525,,,
1693,w94,tom mb,right,49,2020-11-22 15:39:06.370763,71,2020-11-22 15:39:10.957525,62.0,uni way,
1694,rxg,tom mb,right,50,2020-11-22 15:39:06.370763,71,2020-11-22 15:39:10.957525,63.0,uni way,
1695,jm0,tom mb,right,51,2020-11-22 15:39:06.370763,71,2020-11-22 15:39:10.957525,64.0,uni way,
1696,fpg,tom mb,right,52,2020-11-22 15:39:06.383784,71,2020-11-22 15:39:10.957525,65.0,uni way,
1697,0he,tom mb,right,53,2020-11-22 15:39:06.430562,71,2020-11-22 15:39:10.957525,,,
1698,jd0,tom mb,right,54,2020-11-22 15:39:06.576656,71,2020-11-22 15:39:10.957525,,,
1699,3uq,uni way,left,109,2020-11-22 15:39:01.939567,166,2020-11-22 15:39:11.163612,,,
1700,quf,uni way,left,110,2020-11-22 15:39:02.003653,166,2020-11-22 15:39:11.163612,,,
1701,hsq,uni way,left,105,2020-11-22 15:39:02.003653,166,2020-11-22 15:39:11.163612,,,
1702,9ks,uni way,left,106,2020-11-22 15:39:02.003653,166,2020-11-22 15:39:11.163612,,,
1703,35j,uni way,left,107,2020-11-22 15:39:02.115628,166,2020-11-22 15:39:11.163612,,,
1704,hxd,uni way,left,108,2020-11-22 15:39:02.131560,166,2020-11-22 15:39:11.163612,,,
1705,w9k,uni way,right,43,2020-11-22 15:39:06.656026,64,2020-11-22 15:39:11.164602,128.0,moi av,
1706,mst,uni way,right,44,2020-11-22 15:39:06.754916,64,2020-11-22 15:39:11.164602,,,
1707,9bp,uni way,right,45,2020-11-22 15:39:06.908873,64,2020-11-22 15:39:11.164602,129.0,moi av,
1708,kr9,uni way,right,40,2020-11-22 15:39:07.209759,64,2020-11-22 15:39:11.164602,,,
1709,w7s,uni way,right,41,2020-11-22 15:39:07.209759,64,2020-11-22 15:39:11.164602,,,
1710,7cg,uni way,right,42,2020-11-22 15:39:07.209759,64,2020-11-22 15:39:11.164602,,,
1711,b4z,moi av,left,19,2020-11-22 15:39:10.266491,0,2020-11-22 15:39:11.164602,,,
1712,tqu,moi av,left,20,2020-11-22 15:39:10.313479,0,2020-11-22 15:39:11.164602,48.0,ronald,
1713,d3h,moi av,left,15,2020-11-22 15:39:10.693009,0,2020-11-22 15:39:11.164602,,,
1714,f59,moi av,left,10,2020-11-22 15:39:10.878784,0,2020-11-22 15:39:11.164602,,,
1715,sl9,moi av,right,115,2020-11-22 15:39:02.625776,123,2020-11-22 15:39:11.164602,73.0,tom mb,
1716,lch,moi av,right,116,2020-11-22 15:39:02.625776,123,2020-11-22 15:39:11.164602,74.0,tom mb,
1717,0zc,moi av,right,117,2020-11-22 15:39:02.625776,123,2020-11-22 15:39:11.164602,,,
1718,2r4,moi av,right,112,2020-11-22 15:39:02.765610,123,2020-11-22 15:39:11.164602,,,
1719,b5g,moi av,right,113,2020-11-22 15:39:02.812595,123,2020-11-22 15:39:11.164602,,,
1720,5nr,moi av,right,114,2020-11-22 15:39:02.842642,123,2020-11-22 15:39:11.164602,75.0,tom mb,
1721,hk8,tom mb,left,49,2020-11-22 15:39:08.552290,37,2020-11-22 15:39:11.164602,38.0,tom mb,
1722,kty,tom mb,left,50,2020-11-22 15:39:08.613261,38,2020-11-22 15:39:11.164602,39.0,tom mb,
1723,qxm,tom mb,left,51,2020-11-22 15:39:08.799729,39,2020-11-22 15:39:11.164602,40.0,tom mb,
1724,zms,tom mb,left,52,2020-11-22 15:39:08.831239,40,2020-11-22 15:39:11.164602,41.0,tom mb,
1725,0kg,tom mb,left,53,2020-11-22 15:39:08.973468,41,2020-11-22 15:39:11.164602,,,
1726,4tl,tom mb,left,54,2020-11-22 15:39:08.989469,41,2020-11-22 15:39:11.164602,,,
1727,4xq,tom mb,right,55,2020-11-22 15:39:06.576656,69,2020-11-22 15:39:11.164602,65.0,uni way,
1728,w09,tom mb,right,56,2020-11-22 15:39:06.576656,69,2020-11-22 15:39:11.164602,,,
1729,w8w,tom mb,right,57,2020-11-22 15:39:06.576656,69,2020-11-22 15:39:11.164602,,,
1730,ccs,tom mb,right,58,2020-11-22 15:39:06.576656,69,2020-11-22 15:39:11.164602,,,
1731,zaz,tom mb,right,59,2020-11-22 15:39:06.624844,69,2020-11-22 15:39:11.164602,,,
1732,4jf,tom mb,right,60,2020-11-22 15:39:06.708041,69,2020-11-22 15:39:11.164602,66.0,uni way,
1733,v52,ronald,right,1,2020-11-22 15:39:09.132755,8,2020-11-22 15:39:11.164602,,,
1734,u0r,ronald,right,2,2020-11-22 15:39:09.226566,8,2020-11-22 15:39:11.164602,124.0,moi av,
1735,gum,ronald,right,3,2020-11-22 15:39:09.443541,8,2020-11-22 15:39:11.164602,,,
1736,tgu,ronald,right,4,2020-11-22 15:39:09.644046,8,2020-11-22 15:39:11.164602,,,
1737,8ja,ronald,right,5,2020-11-22 15:39:09.753152,8,2020-11-22 15:39:11.164602,125.0,moi av,
1738,x2q,ronald,right,6,2020-11-22 15:39:09.830074,8,2020-11-22 15:39:11.164602,126.0,moi av,
1739,3wy,uni way,left,109,2020-11-22 15:39:02.211579,161,2020-11-22 15:39:11.367730,,,
1740,yj0,uni way,left,104,2020-11-22 15:39:02.211579,161,2020-11-22 15:39:11.367730,162.0,uni way,
1741,4re,uni way,left,105,2020-11-22 15:39:02.211579,162,2020-11-22 15:39:11.367730,,,
1742,kvu,uni way,left,106,2020-11-22 15:39:02.259431,162,2020-11-22 15:39:11.367730,,,
1743,y4h,uni way,left,107,2020-11-22 15:39:02.307433,162,2020-11-22 15:39:11.367730,,,
1744,d0m,uni way,left,108,2020-11-22 15:39:02.403494,162,2020-11-22 15:39:11.367730,,,
1745,20y,uni way,right,43,2020-11-22 15:39:07.209759,63,2020-11-22 15:39:11.367730,,,
1746,bl8,uni way,right,38,2020-11-22 15:39:07.415494,63,2020-11-22 15:39:11.367730,,,
1747,w4n,uni way,right,39,2020-11-22 15:39:07.415494,63,2020-11-22 15:39:11.367730,128.0,moi av,
1748,89c,uni way,right,34,2020-11-22 15:39:07.619730,63,2020-11-22 15:39:11.367730,129.0,moi av,
1749,lbt,uni way,right,35,2020-11-22 15:39:07.619730,63,2020-11-22 15:39:11.367730,,,
1750,b7d,uni way,right,36,2020-11-22 15:39:07.647113,63,2020-11-22 15:39:11.367730,130.0,moi av,
1751,ys8,moi av,left,1,2020-11-22 15:39:11.210478,0,2020-11-22 15:39:11.367730,51.0,ronald,
1752,d07,moi av,right,115,2020-11-22 15:39:02.842642,124,2020-11-22 15:39:11.367730,72.0,tom mb,
1753,5xd,moi av,right,110,2020-11-22 15:39:02.844640,124,2020-11-22 15:39:11.368729,,,
1754,a0m,moi av,right,111,2020-11-22 15:39:02.844640,124,2020-11-22 15:39:11.368729,73.0,tom mb,
1755,ssh,moi av,right,112,2020-11-22 15:39:02.857495,124,2020-11-22 15:39:11.368729,,,
1756,bj9,moi av,right,113,2020-11-22 15:39:02.996369,124,2020-11-22 15:39:11.368729,74.0,tom mb,
1757,s34,moi av,right,114,2020-11-22 15:39:03.043497,124,2020-11-22 15:39:11.368729,,,
1758,sv5,tom mb,right,61,2020-11-22 15:39:06.739290,68,2020-11-22 15:39:11.368729,64.0,uni way,
1759,cng,tom mb,right,62,2020-11-22 15:39:06.792768,68,2020-11-22 15:39:11.368729,,,
1760,y0y,tom mb,right,63,2020-11-22 15:39:06.792768,68,2020-11-22 15:39:11.368729,,,
1761,r55,tom mb,right,64,2020-11-22 15:39:06.792768,68,2020-11-22 15:39:11.368729,65.0,uni way,
1762,jnu,tom mb,right,65,2020-11-22 15:39:06.924731,68,2020-11-22 15:39:11.368729,,,
1763,3yd,tom mb,right,66,2020-11-22 15:39:06.955764,68,2020-11-22 15:39:11.368729,66.0,uni way,
1764,v89,ronald,right,7,2020-11-22 15:39:09.861082,2,2020-11-22 15:39:11.368729,,,
1765,cfw,ronald,right,8,2020-11-22 15:39:09.970604,2,2020-11-22 15:39:11.368729,,,
1766,wj3,ronald,right,9,2020-11-22 15:39:10.204360,2,2020-11-22 15:39:11.368729,125.0,moi av,
1767,3nn,ronald,right,10,2020-11-22 15:39:10.425262,2,2020-11-22 15:39:11.368729,,,
1768,tr2,ronald,right,11,2020-11-22 15:39:10.739852,2,2020-11-22 15:39:11.368729,,,
1769,8cr,ronald,right,12,2020-11-22 15:39:10.801292,2,2020-11-22 15:39:11.368729,126.0,moi av,
1770,0tm,uni way,left,103,2020-11-22 15:39:02.419520,157,2020-11-22 15:39:11.572931,,,
1771,tlp,uni way,left,104,2020-11-22 15:39:02.419520,157,2020-11-22 15:39:11.572931,158.0,uni way,
1772,exn,uni way,left,105,2020-11-22 15:39:02.450600,158,2020-11-22 15:39:11.572931,159.0,uni way,
1773,4jh,uni way,left,100,2020-11-22 15:39:02.625776,159,2020-11-22 15:39:11.572931,,,
1774,gnb,uni way,left,101,2020-11-22 15:39:02.625776,159,2020-11-22 15:39:11.572931,160.0,uni way,
1775,he3,uni way,left,102,2020-11-22 15:39:02.625776,160,2020-11-22 15:39:11.572931,161.0,uni way,
1776,yah,uni way,right,37,2020-11-22 15:39:07.724789,60,2020-11-22 15:39:11.572931,128.0,moi av,
1777,x29,uni way,right,38,2020-11-22 15:39:07.802494,60,2020-11-22 15:39:11.572931,129.0,moi av,
1778,2u7,uni way,right,33,2020-11-22 15:39:07.836495,60,2020-11-22 15:39:11.572931,,,
1779,zhx,uni way,right,34,2020-11-22 15:39:07.836495,60,2020-11-22 15:39:11.572931,,,
1780,55h,uni way,right,35,2020-11-22 15:39:07.836495,60,2020-11-22 15:39:11.572931,130.0,moi av,
1781,ebq,uni way,right,36,2020-11-22 15:39:07.836495,60,2020-11-22 15:39:11.572931,,,
1782,ghv,moi av,left,1,2020-11-22 15:39:11.460874,0,2020-11-22 15:39:11.572931,56.0,ronald,
1783,275,tom mb,right,67,2020-11-22 15:39:07.004494,64,2020-11-22 15:39:11.573919,,,
1784,w5f,tom mb,right,68,2020-11-22 15:39:07.004494,64,2020-11-22 15:39:11.573919,61.0,uni way,
1785,bb9,tom mb,right,69,2020-11-22 15:39:07.004494,64,2020-11-22 15:39:11.573919,62.0,uni way,
1786,7dj,tom mb,right,70,2020-11-22 15:39:07.208755,64,2020-11-22 15:39:11.573919,,,
1787,qfa,tom mb,right,65,2020-11-22 15:39:07.240512,64,2020-11-22 15:39:11.573919,,,
1788,5qa,tom mb,right,60,2020-11-22 15:39:07.459282,64,2020-11-22 15:39:11.573919,63.0,uni way,
1789,ngm,ronald,right,13,2020-11-22 15:39:10.972571,0,2020-11-22 15:39:11.573919,131.0,moi av,
1790,th4,ronald,right,14,2020-11-22 15:39:11.099705,0,2020-11-22 15:39:11.573919,132.0,moi av,
1791,q77,ronald,right,3,2020-11-22 15:39:11.430863,0,2020-11-22 15:39:11.573919,,,
1792,nta,uni way,left,103,2020-11-22 15:39:02.826705,159,2020-11-22 15:39:11.776345,,,
1793,lbj,uni way,left,98,2020-11-22 15:39:02.842642,159,2020-11-22 15:39:11.776345,,,
1794,aew,uni way,left,99,2020-11-22 15:39:02.888553,159,2020-11-22 15:39:11.776345,160.0,uni way,
1795,0gu,uni way,left,100,2020-11-22 15:39:03.058496,160,2020-11-22 15:39:11.776345,,,
1796,flc,uni way,left,95,2020-11-22 15:39:03.059497,160,2020-11-22 15:39:11.776345,,,
1797,vn9,uni way,left,96,2020-11-22 15:39:03.059497,160,2020-11-22 15:39:11.776345,161.0,uni way,
1798,prw,uni way,right,37,2020-11-22 15:39:07.850495,58,2020-11-22 15:39:11.776345,,,
1799,rsp,uni way,right,38,2020-11-22 15:39:07.897551,58,2020-11-22 15:39:11.776345,137.0,moi av,
1800,alq,uni way,right,39,2020-11-22 15:39:07.960550,58,2020-11-22 15:39:11.776345,138.0,moi av,
1801,sbb,uni way,right,40,2020-11-22 15:39:07.975550,58,2020-11-22 15:39:11.776345,,,
1802,jf7,uni way,right,41,2020-11-22 15:39:08.023068,58,2020-11-22 15:39:11.776345,139.0,moi av,
1803,gbf,uni way,right,36,2020-11-22 15:39:08.041431,58,2020-11-22 15:39:11.776345,,,
1804,evg,tom mb,right,61,2020-11-22 15:39:07.522493,59,2020-11-22 15:39:11.777263,,,
1805,5yy,tom mb,right,62,2020-11-22 15:39:07.553764,59,2020-11-22 15:39:11.777263,,,
1806,qes,tom mb,right,57,2020-11-22 15:39:07.693641,59,2020-11-22 15:39:11.777263,,,
1807,0ec,tom mb,right,52,2020-11-22 15:39:07.881864,59,2020-11-22 15:39:11.777263,59.0,uni way,
1808,vh4,tom mb,right,47,2020-11-22 15:39:08.055431,59,2020-11-22 15:39:11.777263,,,
1809,m3q,tom mb,right,48,2020-11-22 15:39:08.147539,59,2020-11-22 15:39:11.777263,,,
1810,ghc,ronald,left,49,2020-11-22 15:39:07.209759,52,2020-11-22 15:39:11.777263,162.0,uni way,
1811,7j8,ronald,left,50,2020-11-22 15:39:07.271477,52,2020-11-22 15:39:11.777263,163.0,uni way,
1812,e7n,ronald,left,51,2020-11-22 15:39:07.286613,52,2020-11-22 15:39:11.777263,164.0,uni way,
1813,bez,ronald,left,52,2020-11-22 15:39:07.414491,52,2020-11-22 15:39:11.777263,165.0,uni way,
1814,ptf,ronald,left,53,2020-11-22 15:39:07.414491,52,2020-11-22 15:39:11.777263,,,
1815,9ru,ronald,left,54,2020-11-22 15:39:07.537828,52,2020-11-22 15:39:11.777263,166.0,uni way,
1816,lzq,uni way,left,97,2020-11-22 15:39:03.059497,161,2020-11-22 15:39:11.977784,,,
1817,0ea,uni way,left,98,2020-11-22 15:39:03.168774,161,2020-11-22 15:39:11.977784,,,
1818,b4r,uni way,left,93,2020-11-22 15:39:03.263481,161,2020-11-22 15:39:11.977784,,,
1819,yvp,uni way,left,94,2020-11-22 15:39:03.264480,161,2020-11-22 15:39:11.977784,162.0,uni way,
1820,8er,uni way,left,95,2020-11-22 15:39:03.264480,162,2020-11-22 15:39:11.977784,163.0,uni way,
1821,xnw,uni way,left,96,2020-11-22 15:39:03.264480,163,2020-11-22 15:39:11.977784,,,
1822,zvh,uni way,right,37,2020-11-22 15:39:08.041431,56,2020-11-22 15:39:11.977784,,,
1823,0wv,uni way,right,38,2020-11-22 15:39:08.132809,56,2020-11-22 15:39:11.977784,,,
1824,efc,uni way,right,39,2020-11-22 15:39:08.241119,56,2020-11-22 15:39:11.977784,140.0,moi av,
1825,9yq,uni way,right,34,2020-11-22 15:39:08.257581,56,2020-11-22 15:39:11.977784,141.0,moi av,
1826,n9d,uni way,right,35,2020-11-22 15:39:08.258582,56,2020-11-22 15:39:11.977784,,,
1827,n5f,uni way,right,36,2020-11-22 15:39:08.258582,56,2020-11-22 15:39:11.977784,142.0,moi av,
1828,uey,tom mb,right,49,2020-11-22 15:39:08.163393,56,2020-11-22 15:39:11.978794,,,
1829,0ll,tom mb,right,50,2020-11-22 15:39:08.179408,56,2020-11-22 15:39:11.978794,57.0,uni way,
1830,rt0,tom mb,right,45,2020-11-22 15:39:08.272629,56,2020-11-22 15:39:11.978794,58.0,uni way,
1831,wrb,tom mb,right,46,2020-11-22 15:39:08.319054,56,2020-11-22 15:39:11.978794,59.0,uni way,
1832,dxq,tom mb,right,47,2020-11-22 15:39:08.365507,56,2020-11-22 15:39:11.978794,60.0,uni way,
1833,g2p,tom mb,right,42,2020-11-22 15:39:08.643950,56,2020-11-22 15:39:11.978794,,,
1834,wb4,ronald,left,55,2020-11-22 15:39:07.585828,47,2020-11-22 15:39:11.978794,,,
1835,5sm,ronald,left,56,2020-11-22 15:39:07.618727,47,2020-11-22 15:39:11.978794,164.0,uni way,
1836,psr,ronald,left,57,2020-11-22 15:39:07.709959,47,2020-11-22 15:39:11.978794,165.0,uni way,
1837,5p8,ronald,left,58,2020-11-22 15:39:07.770797,47,2020-11-22 15:39:11.978794,166.0,uni way,
1838,jga,ronald,left,59,2020-11-22 15:39:07.836495,47,2020-11-22 15:39:11.978794,167.0,uni way,
1839,0dw,ronald,left,60,2020-11-22 15:39:08.040435,47,2020-11-22 15:39:11.978794,,,
1840,b94,ronald,right,1,2020-11-22 15:39:11.962154,0,2020-11-22 15:39:11.978794,,,
1841,7rr,uni way,left,97,2020-11-22 15:39:03.421246,163,2020-11-22 15:39:12.179355,164.0,uni way,
1842,mdw,uni way,left,98,2020-11-22 15:39:03.467837,164,2020-11-22 15:39:12.179355,,,
1843,xjf,uni way,left,99,2020-11-22 15:39:03.483253,164,2020-11-22 15:39:12.179355,165.0,uni way,
1844,bpg,uni way,left,100,2020-11-22 15:39:03.562204,165,2020-11-22 15:39:12.180368,166.0,uni way,
1845,skn,uni way,left,101,2020-11-22 15:39:03.703374,166,2020-11-22 15:39:12.180368,167.0,uni way,
1846,ua7,uni way,left,102,2020-11-22 15:39:03.877009,167,2020-11-22 15:39:12.180368,168.0,uni way,
1847,hb9,uni way,right,37,2020-11-22 15:39:08.258582,55,2020-11-22 15:39:12.180368,,,
1848,tqs,uni way,right,38,2020-11-22 15:39:08.303217,55,2020-11-22 15:39:12.180368,146.0,moi av,
1849,yv9,uni way,right,33,2020-11-22 15:39:08.461973,55,2020-11-22 15:39:12.180368,,,
1850,qvk,uni way,right,34,2020-11-22 15:39:08.461973,55,2020-11-22 15:39:12.180368,147.0,moi av,
1851,7v5,uni way,right,35,2020-11-22 15:39:08.461973,55,2020-11-22 15:39:12.180368,148.0,moi av,
1852,gha,uni way,right,36,2020-11-22 15:39:08.474923,55,2020-11-22 15:39:12.180368,149.0,moi av,
1853,cfc,tom mb,right,37,2020-11-22 15:39:08.863129,52,2020-11-22 15:39:12.180368,,,
1854,7t9,tom mb,right,38,2020-11-22 15:39:08.895139,52,2020-11-22 15:39:12.180368,,,
